Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:59:731, 1761, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0, 0, 0
0:0:59:731, 1763, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0, 0, 0
0:0:59:736, 1763, 0:0:59:736, 0, 0:0:59:736, 0, 0:0:59:736, 0, 0:0:59:736, 0, 0, 0, 0
0:0:59:737, 1764, 0:0:59:737, 0, 0:0:59:737, 0, 0:0:59:737, 0, 0:0:59:737, 0, 0, 0, 0
0:0:59:737, 1766, 0:0:59:737, 0, 0:0:59:737, 0, 0:0:59:737, 0, 0:0:59:737, 0, 0, 0, 0
0:0:59:738, 1769, 0:0:59:738, 0, 0:0:59:738, 0, 0:0:59:738, 0, 0:0:59:738, 0, 0, 0, 0
0:0:59:739, 1770, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0, 0, 0
0:0:59:739, 1771, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0, 0, 0
0:0:59:739, 1772, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0, 0, 0
0:0:59:739, 1775, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0:0:59:739, 0, 0, 0, 0
0:0:59:741, 1776, 0:0:59:741, 0, 0:0:59:741, 0, 0:0:59:741, 0, 0:0:59:741, 0, 0, 0, 0
0:0:59:741, 1775, 0:0:59:741, 0, 0:0:59:741, 0, 0:0:59:741, 0, 0:0:59:741, 0, 0, 0, 0
0:0:59:741, 1777, 0:0:59:741, 0, 0:0:59:741, 0, 0:0:59:741, 0, 0:0:59:741, 0, 0, 0, 0
0:0:59:742, 1778, 0:0:59:742, 0, 0:0:59:742, 0, 0:0:59:742, 0, 0:0:59:742, 0, 0, 0, 0
0:0:59:743, 1779, 0:0:59:743, 0, 0:0:59:743, 0, 0:0:59:743, 0, 0:0:59:743, 0, 0, 0, 0
0:0:59:743, 1777, 0:0:59:743, 0, 0:0:59:743, 0, 0:0:59:743, 0, 0:0:59:743, 0, 0, 0, 0
0:0:59:744, 1775, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0, 0, 0
0:0:59:744, 1775, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0, 0, 0
0:0:59:744, 1774, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0, 0, 0
0:0:59:744, 1770, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0:0:59:744, 0, 0, 0, 0
